Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,22,0.7,1.5,0.5573579688098854
100% Corpus,22,0.7,auto,0.4826399189438389
100% Corpus,22,0.9,0.15,0.4857961946183606
100% Corpus,22,0.9,0.2,0.49695551704689916
100% Corpus,22,0.9,0.5,0.5834535155311219
100% Corpus,22,0.9,0.7,0.6273225565130288
100% Corpus,22,0.9,0.9,0.6310602659843045
100% Corpus,22,0.9,1.5,0.5184903769264545
100% Corpus,22,0.9,auto,0.46816455579335076
100% Corpus,22,1.5,0.15,0.5018957298621998
100% Corpus,22,1.5,0.2,0.5011725237203728
100% Corpus,22,1.5,0.5,0.4693402950920369
100% Corpus,22,1.5,0.7,0.5113424912996222
100% Corpus,22,1.5,0.9,0.44866486451700544
100% Corpus,22,1.5,1.5,0.34660131657061305
100% Corpus,22,1.5,auto,0.484458908506174
100% Corpus,22,1.75,0.15,0.5027598127652628
100% Corpus,22,1.75,0.2,0.4970979399914281
100% Corpus,22,1.75,0.5,0.48115366823198075
100% Corpus,22,1.75,0.7,0.4653738857289147
100% Corpus,22,1.75,0.9,0.42294189111622216
100% Corpus,22,1.75,1.5,0.47476378636533273
100% Corpus,22,1.75,auto,0.4791143482068007
100% Corpus,22,auto,0.15,0.4814272708968579
100% Corpus,22,auto,0.2,0.4788805465057745
100% Corpus,22,auto,0.5,0.46688330518741117
100% Corpus,22,auto,0.7,0.4912098383303036
100% Corpus,22,auto,0.9,0.4782365232324914
100% Corpus,22,auto,1.5,
100% Corpus,22,auto,auto,0.42966586557244546
100% Corpus,24,0.15,0.15,0.4293215527629239
100% Corpus,24,0.15,0.2,0.4319364410981927
100% Corpus,24,0.15,0.5,
100% Corpus,24,0.15,0.7,0.511341854019156
100% Corpus,24,0.15,0.9,0.577808053765104
100% Corpus,24,0.15,1.5,0.5555477023674896
100% Corpus,24,0.15,auto,0.4295223697254473
100% Corpus,24,0.2,0.15,0.42366168499357476
100% Corpus,24,0.2,0.2,0.4389971787246156
100% Corpus,24,0.2,0.5,0.4501322527238533
100% Corpus,24,0.2,0.7,0.5267197647523145
100% Corpus,24,0.2,0.9,0.5644688261337659
100% Corpus,24,0.2,1.5,0.5514875104962175
100% Corpus,24,0.2,auto,0.4570492444114767
100% Corpus,24,0.5,0.15,0.4903149108458833
100% Corpus,24,0.5,0.2,0.48991044872874884
100% Corpus,24,0.5,0.5,0.47757456142507637
100% Corpus,24,0.5,0.7,0.5041486629436912
100% Corpus,24,0.5,0.9,0.5444496492285628
100% Corpus,24,0.5,1.5,0.6538321248311599
100% Corpus,24,0.5,auto,0.44514976754793856
100% Corpus,24,0.6,0.15,0.49983055782363134
100% Corpus,24,0.6,0.2,0.483885883687492
100% Corpus,24,0.6,0.5,0.4479790586554788
