Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,17,1.75,0.2,0.558582277287047
100% Corpus,17,1.75,0.5,0.5150971205665753
100% Corpus,17,1.75,0.7,0.46911229241577607
100% Corpus,17,1.75,0.9,0.4902167327097049
100% Corpus,17,1.75,1.5,0.43680534221137407
100% Corpus,17,1.75,auto,0.5412157140069086
100% Corpus,17,auto,0.15,0.46532095647050215
100% Corpus,17,auto,0.2,0.4635851961939488
100% Corpus,17,auto,0.5,0.467121073671945
100% Corpus,17,auto,0.7,
100% Corpus,17,auto,0.9,0.4674957008360331
100% Corpus,17,auto,1.5,
100% Corpus,17,auto,auto,0.4415966883537165
100% Corpus,19,0.15,0.15,0.47981451003454995
100% Corpus,19,0.15,0.2,0.48385245500510676
100% Corpus,19,0.15,0.5,0.4630355345374132
100% Corpus,19,0.15,0.7,0.5177742141095142
100% Corpus,19,0.15,0.9,0.5366095573277346
100% Corpus,19,0.15,1.5,0.542020918849457
100% Corpus,19,0.15,auto,0.45631198198309947
100% Corpus,19,0.2,0.15,0.4734939330298001
100% Corpus,19,0.2,0.2,0.47806028777846793
100% Corpus,19,0.2,0.5,0.4750777646506913
100% Corpus,19,0.2,0.7,0.4809895065367121
100% Corpus,19,0.2,0.9,0.5554959604051241
100% Corpus,19,0.2,1.5,0.5479757808813613
100% Corpus,19,0.2,auto,0.45259220053554977
100% Corpus,19,0.5,0.15,0.48986059100083257
100% Corpus,19,0.5,0.2,0.4968139588105953
100% Corpus,19,0.5,0.5,0.4940875565482015
100% Corpus,19,0.5,0.7,0.47961435744410036
100% Corpus,19,0.5,0.9,0.4610697156621667
100% Corpus,19,0.5,1.5,0.5402028591197627
100% Corpus,19,0.5,auto,0.49515210527320264
100% Corpus,19,0.6,0.15,0.5092406688617965
100% Corpus,19,0.6,0.2,0.495762882347703
100% Corpus,19,0.6,0.5,0.4913625257751754
100% Corpus,19,0.6,0.7,0.47849646049487926
